temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	3723.000000	3400.000000	3953.000000	535750	540790	Mon Oct 19 12:17:53 2020
75.000000	3606.000000	3398.000000	3944.000000	535750	542627	Mon Oct 19 13:04:39 2020
56.250000	3618.000000	3290.000000	3932.000000	535750	544865	Mon Oct 19 13:51:26 2020
42.187500	3599.000000	3351.000000	3809.000000	535750	548119	Mon Oct 19 14:38:08 2020
31.640625	3627.000000	3255.000000	3736.000000	535750	552033	Mon Oct 19 15:24:42 2020
23.730469	3455.000000	3241.000000	3770.000000	535750	557665	Mon Oct 19 16:11:25 2020
17.797852	3294.000000	3178.000000	3682.000000	535750	564658	Mon Oct 19 16:58:02 2020
13.348389	3285.000000	3025.000000	3539.000000	535750	574328	Mon Oct 19 17:44:35 2020
10.011292	3117.000000	2899.000000	3470.000000	535750	587708	Mon Oct 19 18:31:04 2020
7.508469	3017.000000	2784.000000	3246.000000	535750	605001	Mon Oct 19 19:17:42 2020
5.631351	2848.000000	2607.000000	3089.000000	535750	628881	Mon Oct 19 20:04:17 2020
4.223514	2640.000000	2355.000000	2851.000000	535750	659655	Mon Oct 19 20:51:00 2020
3.167635	2250.000000	2130.000000	2646.000000	535750	702466	Mon Oct 19 21:37:53 2020
2.375726	2002.000000	1855.000000	2262.000000	535750	758249	Mon Oct 19 22:25:24 2020
1.781795	1764.000000	1568.000000	2012.000000	535750	833978	Mon Oct 19 23:14:11 2020
1.336346	1415.000000	1279.000000	1770.000000	535750	930593	Tue Oct 20 00:04:47 2020
1.002260	1136.000000	1005.000000	1430.000000	535750	1061550	Tue Oct 20 00:58:35 2020
0.751695	875.000000	769.000000	1138.000000	535750	1225582	Tue Oct 20 01:57:26 2020
0.563771	620.000000	511.000000	878.000000	535750	1431934	Tue Oct 20 03:02:56 2020
0.422828	389.000000	338.000000	619.000000	535750	1672811	Tue Oct 20 04:17:12 2020
0.317121	238.000000	178.000000	389.000000	535750	1936141	Tue Oct 20 05:42:08 2020
0.237841	96.000000	68.000000	238.000000	528596	2143000	Tue Oct 20 07:16:01 2020
0.178381	40.000000	28.000000	96.000000	497610	2143000	Tue Oct 20 08:49:52 2020
0.133786	9.000000	5.000000	40.000000	481446	2143000	Tue Oct 20 10:23:41 2020
0.100339	3.000000	2.000000	10.000000	479954	2143000	Tue Oct 20 11:57:31 2020
0.075254	2.000000	2.000000	4.000000	477492	2143000	Tue Oct 20 13:31:18 2020
0.056441	2.000000	2.000000	2.000000	477576	2143000	Tue Oct 20 15:05:10 2020
