temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	2128.000000	1985.000000	2356.000000	420000	423191	Thu Oct 15 12:16:56 2020
75.000000	2091.000000	1964.000000	2358.000000	420000	424314	Thu Oct 15 12:38:57 2020
56.250000	2196.000000	1884.000000	2359.000000	420000	425719	Thu Oct 15 13:00:59 2020
42.187500	2205.000000	1887.000000	2366.000000	420000	427507	Thu Oct 15 13:23:08 2020
31.640625	2163.000000	1875.000000	2330.000000	420000	430251	Thu Oct 15 13:45:09 2020
23.730469	2011.000000	1877.000000	2259.000000	420000	433413	Thu Oct 15 14:07:21 2020
17.797852	1996.000000	1831.000000	2212.000000	420000	438130	Thu Oct 15 14:29:21 2020
13.348389	2000.000000	1793.000000	2181.000000	420000	444127	Thu Oct 15 14:51:14 2020
10.011292	1948.000000	1729.000000	2089.000000	420000	451993	Thu Oct 15 15:13:13 2020
7.508469	1798.000000	1676.000000	2016.000000	420000	462850	Thu Oct 15 15:35:16 2020
5.631351	1681.000000	1581.000000	1879.000000	420000	477387	Thu Oct 15 15:57:46 2020
4.223514	1607.000000	1464.000000	1765.000000	420000	496484	Thu Oct 15 16:19:52 2020
3.167635	1412.000000	1326.000000	1661.000000	420000	522284	Thu Oct 15 16:42:04 2020
2.375726	1236.000000	1163.000000	1427.000000	420000	556646	Thu Oct 15 17:04:34 2020
1.781795	1097.000000	993.000000	1258.000000	420000	601160	Thu Oct 15 17:27:14 2020
1.336346	907.000000	802.000000	1115.000000	420000	661225	Thu Oct 15 17:50:00 2020
1.002260	671.000000	619.000000	919.000000	420000	738475	Thu Oct 15 18:13:14 2020
0.751695	527.000000	456.000000	675.000000	420000	835189	Thu Oct 15 18:37:54 2020
0.563771	345.000000	310.000000	528.000000	420000	952824	Thu Oct 15 19:05:17 2020
0.422828	238.000000	185.000000	345.000000	420000	1082144	Thu Oct 15 19:36:06 2020
0.317121	125.000000	91.000000	238.000000	420000	1209366	Thu Oct 15 20:10:27 2020
0.237841	53.000000	31.000000	125.000000	420000	1304990	Thu Oct 15 20:47:02 2020
0.178381	11.000000	7.000000	54.000000	420000	1358455	Thu Oct 15 21:25:09 2020
0.133786	3.000000	1.000000	11.000000	420000	1382320	Thu Oct 15 22:03:49 2020
0.100339	1.000000	0.000000	3.000000	420000	1385679	Thu Oct 15 22:42:36 2020
0.075254	0.000000	0.000000	1.000000	420000	1389096	Thu Oct 15 23:21:52 2020
0.056441	0.000000	0.000000	0.000000	420000	1387324	Fri Oct 16 00:00:50 2020
