temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	5982.000000	5515.000000	6404.000000	617750	625715	Fri Oct 23 16:00:48 2020
75.000000	5850.000000	5635.000000	6360.000000	617750	627917	Fri Oct 23 17:23:08 2020
56.250000	5946.000000	5423.000000	6245.000000	617750	631576	Fri Oct 23 18:45:04 2020
42.187500	5881.000000	5487.000000	6223.000000	617750	636458	Fri Oct 23 20:07:22 2020
31.640625	5936.000000	5411.000000	6156.000000	617750	642510	Fri Oct 23 21:29:34 2020
23.730469	5656.000000	5233.000000	5992.000000	617750	651019	Fri Oct 23 22:51:48 2020
17.797852	5441.000000	5121.000000	5779.000000	617750	662310	Sat Oct 24 00:13:58 2020
13.348389	5314.000000	4987.000000	5611.000000	617750	677557	Sat Oct 24 01:36:21 2020
10.011292	5215.000000	4695.000000	5377.000000	617750	698085	Sat Oct 24 02:58:47 2020
7.508469	4849.000000	4463.000000	5250.000000	617750	725625	Sat Oct 24 04:21:38 2020
5.631351	4357.000000	4100.000000	4851.000000	617750	763074	Sat Oct 24 05:44:54 2020
4.223514	3837.000000	3743.000000	4363.000000	617750	813903	Sat Oct 24 07:09:05 2020
3.167635	3440.000000	3236.000000	3840.000000	617750	881927	Sat Oct 24 08:34:20 2020
2.375726	3095.000000	2822.000000	3443.000000	617750	976031	Sat Oct 24 10:01:31 2020
1.781795	2602.000000	2343.000000	3104.000000	617750	1104874	Sat Oct 24 11:32:15 2020
1.336346	2092.000000	1909.000000	2602.000000	617750	1274756	Sat Oct 24 13:08:47 2020
1.002260	1544.000000	1473.000000	2096.000000	617750	1514773	Sat Oct 24 14:54:41 2020
0.751695	1233.000000	1074.000000	1546.000000	617750	1825847	Sat Oct 24 16:54:34 2020
0.563771	889.000000	738.000000	1236.000000	617750	2238358	Sat Oct 24 19:14:40 2020
0.422828	520.000000	464.000000	889.000000	551783	2471000	Sat Oct 24 21:45:05 2020
0.317121	320.000000	237.000000	520.000000	455828	2471000	Sun Oct 25 00:13:33 2020
0.237841	105.000000	100.000000	321.000000	394057	2471000	Sun Oct 25 01:41:42 2020
0.178381	46.000000	20.000000	105.000000	362322	2471000	Sun Oct 25 04:09:49 2020
0.133786	7.000000	6.000000	47.000000	351917	2471000	Sun Oct 25 06:37:51 2020
0.100339	3.000000	0.000000	7.000000	346818	2471000	Sun Oct 25 09:05:57 2020
0.075254	0.000000	0.000000	4.000000	347818	2471000	Sun Oct 25 11:33:59 2020
0.056441	0.000000	0.000000	0.000000	347240	2471000	Sun Oct 25 14:02:01 2020
