temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	3975.000000	3440.000000	4307.000000	295500	300533	Sun Feb 14 11:00:53 2021
75.000000	4087.000000	3540.000000	4213.000000	295500	301892	Sun Feb 14 11:21:13 2021
56.250000	3966.000000	3541.000000	4183.000000	295500	304320	Sun Feb 14 11:41:52 2021
42.187500	3756.000000	3444.000000	4188.000000	295500	307003	Sun Feb 14 12:02:18 2021
31.640625	3639.000000	3405.000000	4043.000000	295500	310892	Sun Feb 14 12:22:51 2021
23.730469	3735.000000	3287.000000	4010.000000	295500	316586	Sun Feb 14 12:43:02 2021
17.797852	3547.000000	3137.000000	3855.000000	295500	323026	Sun Feb 14 13:03:26 2021
13.348389	3252.000000	3111.000000	3717.000000	295500	332966	Sun Feb 14 13:23:22 2021
10.011292	3095.000000	2878.000000	3465.000000	295500	345505	Sun Feb 14 13:43:29 2021
7.508469	3006.000000	2748.000000	3230.000000	295500	362338	Sun Feb 14 14:03:43 2021
5.631351	2704.000000	2502.000000	3015.000000	295500	386573	Sun Feb 14 14:24:22 2021
4.223514	2367.000000	2212.000000	2740.000000	295500	418340	Sun Feb 14 14:44:06 2021
3.167635	2251.000000	1962.000000	2366.000000	295500	460348	Sun Feb 14 15:04:02 2021
2.375726	1843.000000	1665.000000	2251.000000	295500	520321	Sun Feb 14 15:24:36 2021
1.781795	1529.000000	1401.000000	1842.000000	295500	597670	Sun Feb 14 15:46:43 2021
1.336346	1275.000000	1088.000000	1536.000000	295500	707735	Sun Feb 14 16:08:31 2021
1.002260	963.000000	891.000000	1275.000000	295500	862627	Sun Feb 14 16:32:04 2021
0.751695	774.000000	671.000000	976.000000	295500	1074607	Sun Feb 14 16:57:57 2021
0.563771	537.000000	476.000000	782.000000	255295	1182000	Sun Feb 14 17:23:00 2021
0.422828	370.000000	294.000000	538.000000	194746	1182000	Sun Feb 14 17:45:40 2021
0.317121	217.000000	185.000000	370.000000	151734	1182000	Sun Feb 14 18:06:54 2021
0.237841	116.000000	94.000000	217.000000	121757	1182000	Sun Feb 14 18:28:51 2021
0.178381	30.000000	30.000000	116.000000	102358	1182000	Sun Feb 14 18:48:42 2021
0.133786	13.000000	8.000000	30.000000	94702	1182000	Sun Feb 14 19:10:19 2021
0.100339	3.000000	3.000000	13.000000	93482	1182000	Sun Feb 14 19:32:41 2021
0.075254	3.000000	3.000000	3.000000	92804	1182000	Sun Feb 14 19:51:56 2021
