temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	2347.000000	2158.000000	2629.000000	307500	310857	Fri Oct 23 14:54:01 2020
75.000000	2290.000000	2170.000000	2607.000000	307500	311827	Fri Oct 23 15:08:36 2020
56.250000	2434.000000	2118.000000	2568.000000	307500	313421	Fri Oct 23 15:24:00 2020
42.187500	2331.000000	2094.000000	2537.000000	307500	315245	Fri Oct 23 15:38:51 2020
31.640625	2228.000000	2058.000000	2530.000000	307500	317743	Fri Oct 23 15:53:33 2020
23.730469	2241.000000	2024.000000	2456.000000	307500	321304	Fri Oct 23 16:08:42 2020
17.797852	2258.000000	1987.000000	2394.000000	307500	326052	Fri Oct 23 16:23:07 2020
13.348389	2221.000000	1935.000000	2332.000000	307500	331996	Fri Oct 23 16:37:35 2020
10.011292	2043.000000	1833.000000	2235.000000	307500	340349	Fri Oct 23 16:52:37 2020
7.508469	1934.000000	1727.000000	2133.000000	307500	352068	Fri Oct 23 17:06:49 2020
5.631351	1871.000000	1625.000000	2035.000000	307500	367858	Fri Oct 23 17:21:55 2020
4.223514	1634.000000	1485.000000	1882.000000	307500	387859	Fri Oct 23 17:36:19 2020
3.167635	1491.000000	1326.000000	1656.000000	307500	415644	Fri Oct 23 17:50:40 2020
2.375726	1261.000000	1139.000000	1490.000000	307500	452585	Fri Oct 23 18:06:17 2020
1.781795	1135.000000	973.000000	1268.000000	307500	502445	Fri Oct 23 18:21:20 2020
1.336346	898.000000	793.000000	1138.000000	307500	569257	Fri Oct 23 18:36:36 2020
1.002260	710.000000	604.000000	903.000000	307500	657020	Fri Oct 23 18:53:27 2020
0.751695	534.000000	452.000000	709.000000	307500	773359	Fri Oct 23 19:10:35 2020
0.563771	347.000000	302.000000	543.000000	307500	927309	Fri Oct 23 19:28:22 2020
0.422828	224.000000	186.000000	351.000000	307500	1105352	Fri Oct 23 19:50:17 2020
0.317121	110.000000	100.000000	224.000000	289553	1230000	Fri Oct 23 20:12:17 2020
0.237841	55.000000	36.000000	110.000000	254403	1230000	Fri Oct 23 20:35:20 2020
0.178381	12.000000	9.000000	56.000000	236637	1230000	Fri Oct 23 20:58:55 2020
0.133786	2.000000	1.000000	12.000000	231936	1230000	Fri Oct 23 21:21:10 2020
0.100339	1.000000	0.000000	3.000000	229155	1230000	Fri Oct 23 21:43:46 2020
0.075254	1.000000	1.000000	1.000000	230474	1230000	Fri Oct 23 22:07:39 2020
