temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	6003.000000	5643.000000	6598.000000	357500	364367	Mon Feb 15 15:28:17 2021
75.000000	6144.000000	5612.000000	6538.000000	357500	366834	Mon Feb 15 16:05:24 2021
56.250000	5952.000000	5492.000000	6371.000000	357500	369987	Mon Feb 15 16:42:33 2021
42.187500	5902.000000	5393.000000	6334.000000	357500	374090	Mon Feb 15 17:19:18 2021
31.640625	5783.000000	5333.000000	6188.000000	357500	379968	Mon Feb 15 17:56:22 2021
23.730469	5641.000000	5205.000000	6187.000000	357500	387758	Mon Feb 15 18:33:16 2021
17.797852	5319.000000	4977.000000	5793.000000	357500	397575	Mon Feb 15 19:09:54 2021
13.348389	5169.000000	4780.000000	5495.000000	357500	411404	Mon Feb 15 19:46:16 2021
10.011292	4665.000000	4539.000000	5210.000000	357500	429898	Mon Feb 15 20:22:34 2021
7.508469	4469.000000	4189.000000	4848.000000	357500	455172	Mon Feb 15 20:59:00 2021
5.631351	4211.000000	3855.000000	4475.000000	357500	488950	Mon Feb 15 21:35:19 2021
4.223514	3612.000000	3404.000000	4217.000000	357500	535171	Mon Feb 15 22:13:00 2021
3.167635	3235.000000	3008.000000	3609.000000	357500	597018	Mon Feb 15 22:49:44 2021
2.375726	2776.000000	2591.000000	3241.000000	357500	684106	Mon Feb 15 23:28:40 2021
1.781795	2306.000000	2181.000000	2774.000000	357500	801713	Tue Feb 16 00:09:31 2021
1.336346	1927.000000	1808.000000	2306.000000	357500	969042	Tue Feb 16 00:53:35 2021
1.002260	1616.000000	1478.000000	1930.000000	357500	1208634	Tue Feb 16 01:41:33 2021
0.751695	1284.000000	1191.000000	1616.000000	327179	1430000	Tue Feb 16 02:32:48 2021
0.563771	977.000000	882.000000	1284.000000	242619	1430000	Tue Feb 16 03:19:04 2021
0.422828	709.000000	649.000000	977.000000	174297	1430000	Tue Feb 16 04:00:56 2021
0.317121	463.000000	425.000000	709.000000	123985	1430000	Tue Feb 16 04:35:52 2021
0.237841	279.000000	255.000000	463.000000	89172	1430000	Tue Feb 16 05:09:19 2021
0.178381	157.000000	155.000000	279.000000	70207	1430000	Tue Feb 16 05:42:19 2021
0.133786	104.000000	104.000000	158.000000	60493	1430000	Tue Feb 16 06:16:48 2021
0.100339	84.000000	82.000000	104.000000	56373	1430000	Tue Feb 16 06:51:14 2021
0.075254	71.000000	71.000000	84.000000	56133	1430000	Tue Feb 16 07:23:00 2021
0.056441	61.000000	61.000000	71.000000	53827	1430000	Tue Feb 16 07:54:42 2021
0.042331	58.000000	58.000000	61.000000	52850	1430000	Tue Feb 16 08:28:19 2021
0.031748	56.000000	56.000000	58.000000	53334	1430000	Tue Feb 16 09:00:13 2021
0.023811	53.000000	53.000000	56.000000	51769	1430000	Tue Feb 16 09:32:10 2021
0.017858	49.000000	49.000000	53.000000	51141	1430000	Tue Feb 16 10:03:59 2021
0.013394	46.000000	46.000000	49.000000	51199	1430000	Tue Feb 16 10:37:36 2021
0.010045	44.000000	44.000000	46.000000	52077	1430000	Tue Feb 16 11:09:45 2021
0.007534	44.000000	44.000000	44.000000	51935	1430000	Tue Feb 16 11:44:20 2021
