temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	1428.000000	1202.000000	1550.000000	142750	144540	Fri Oct 16 09:59:14 2020
75.000000	1400.000000	1181.000000	1555.000000	142750	145185	Fri Oct 16 10:02:58 2020
56.250000	1358.000000	1189.000000	1532.000000	142750	145886	Fri Oct 16 10:06:49 2020
42.187500	1345.000000	1166.000000	1533.000000	142750	146925	Fri Oct 16 10:10:28 2020
31.640625	1316.000000	1168.000000	1525.000000	142750	148339	Fri Oct 16 10:13:52 2020
23.730469	1282.000000	1136.000000	1478.000000	142750	150297	Fri Oct 16 10:17:21 2020
17.797852	1334.000000	1090.000000	1432.000000	142750	152829	Fri Oct 16 10:21:00 2020
13.348389	1235.000000	1063.000000	1428.000000	142750	156328	Fri Oct 16 10:24:21 2020
10.011292	1227.000000	1018.000000	1330.000000	142750	160644	Fri Oct 16 10:28:09 2020
7.508469	1088.000000	961.000000	1233.000000	142750	167324	Fri Oct 16 10:31:38 2020
5.631351	979.000000	870.000000	1141.000000	142750	175279	Fri Oct 16 10:34:46 2020
4.223514	901.000000	769.000000	1047.000000	142750	186153	Fri Oct 16 10:38:07 2020
3.167635	851.000000	703.000000	949.000000	142750	201700	Fri Oct 16 10:41:46 2020
2.375726	643.000000	617.000000	852.000000	142750	221660	Fri Oct 16 10:45:26 2020
1.781795	605.000000	503.000000	709.000000	142750	249900	Fri Oct 16 10:49:14 2020
1.336346	488.000000	417.000000	607.000000	142750	285569	Fri Oct 16 10:52:56 2020
1.002260	399.000000	327.000000	492.000000	142750	335338	Fri Oct 16 10:56:43 2020
0.751695	310.000000	239.000000	400.000000	142750	402491	Fri Oct 16 11:01:11 2020
0.563771	209.000000	152.000000	310.000000	142750	491869	Fri Oct 16 11:06:07 2020
0.422828	146.000000	102.000000	210.000000	134116	571000	Fri Oct 16 11:11:37 2020
0.317121	84.000000	55.000000	146.000000	111829	571000	Fri Oct 16 11:17:26 2020
0.237841	36.000000	19.000000	84.000000	95718	571000	Fri Oct 16 11:23:52 2020
0.178381	15.000000	7.000000	36.000000	87684	571000	Fri Oct 16 11:29:24 2020
0.133786	2.000000	2.000000	15.000000	84364	571000	Fri Oct 16 11:34:44 2020
0.100339	1.000000	1.000000	4.000000	84075	571000	Fri Oct 16 11:41:17 2020
0.075254	1.000000	1.000000	1.000000	84526	571000	Fri Oct 16 11:47:10 2020
