temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	1809.000000	1598.000000	1968.000000	223250	225836	Thu Oct 15 12:37:12 2020
75.000000	1783.000000	1590.000000	1970.000000	223250	226537	Thu Oct 15 12:44:42 2020
56.250000	1743.000000	1602.000000	2007.000000	223250	227573	Thu Oct 15 12:52:36 2020
42.187500	1770.000000	1564.000000	1912.000000	223250	229154	Thu Oct 15 13:00:31 2020
31.640625	1779.000000	1500.000000	1940.000000	223250	231202	Thu Oct 15 13:08:03 2020
23.730469	1609.000000	1488.000000	1885.000000	223250	233596	Thu Oct 15 13:15:44 2020
17.797852	1673.000000	1408.000000	1881.000000	223250	237351	Thu Oct 15 13:23:25 2020
13.348389	1601.000000	1424.000000	1778.000000	223250	242014	Thu Oct 15 13:31:07 2020
10.011292	1582.000000	1340.000000	1698.000000	223250	248136	Thu Oct 15 13:38:48 2020
7.508469	1391.000000	1246.000000	1600.000000	223250	256613	Thu Oct 15 13:46:21 2020
5.631351	1421.000000	1193.000000	1477.000000	223250	267800	Thu Oct 15 13:53:38 2020
4.223514	1284.000000	1069.000000	1423.000000	223250	283219	Thu Oct 15 14:00:49 2020
3.167635	1080.000000	939.000000	1292.000000	223250	302772	Thu Oct 15 14:08:08 2020
2.375726	926.000000	861.000000	1083.000000	223250	328844	Thu Oct 15 14:15:31 2020
1.781795	816.000000	710.000000	928.000000	223250	364479	Thu Oct 15 14:22:44 2020
1.336346	647.000000	591.000000	832.000000	223250	410881	Thu Oct 15 14:29:51 2020
1.002260	527.000000	459.000000	648.000000	223250	472288	Thu Oct 15 14:37:54 2020
0.751695	395.000000	339.000000	532.000000	223250	555506	Thu Oct 15 14:46:24 2020
0.563771	282.000000	245.000000	395.000000	223250	662628	Thu Oct 15 14:55:43 2020
0.422828	186.000000	148.000000	282.000000	223250	799940	Thu Oct 15 15:05:21 2020
0.317121	119.000000	75.000000	186.000000	210620	893000	Thu Oct 15 15:15:54 2020
0.237841	50.000000	35.000000	121.000000	184888	893000	Thu Oct 15 15:26:30 2020
0.178381	15.000000	7.000000	50.000000	170472	893000	Thu Oct 15 15:35:45 2020
0.133786	1.000000	1.000000	15.000000	165192	893000	Thu Oct 15 15:48:28 2020
0.100339	0.000000	0.000000	2.000000	162859	893000	Thu Oct 15 15:59:14 2020
0.075254	0.000000	0.000000	1.000000	162058	893000	Thu Oct 15 16:10:19 2020
0.056441	0.000000	0.000000	0.000000	162907	893000	Thu Oct 15 16:20:39 2020
