temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	1594.000000	1415.000000	1736.000000	288250	290516	Mon Oct 19 11:40:44 2020
75.000000	1578.000000	1385.000000	1756.000000	288250	291256	Mon Oct 19 11:51:16 2020
56.250000	1580.000000	1368.000000	1709.000000	288250	292259	Mon Oct 19 12:01:13 2020
42.187500	1587.000000	1378.000000	1691.000000	288250	293509	Mon Oct 19 12:11:35 2020
31.640625	1503.000000	1318.000000	1711.000000	288250	295475	Mon Oct 19 12:21:47 2020
23.730469	1565.000000	1321.000000	1648.000000	288250	297672	Mon Oct 19 12:31:45 2020
17.797852	1385.000000	1324.000000	1638.000000	288250	301194	Mon Oct 19 12:42:04 2020
13.348389	1367.000000	1260.000000	1578.000000	288250	305196	Mon Oct 19 12:52:11 2020
10.011292	1382.000000	1221.000000	1531.000000	288250	311009	Mon Oct 19 13:03:47 2020
7.508469	1304.000000	1179.000000	1455.000000	288250	318812	Mon Oct 19 13:13:42 2020
5.631351	1213.000000	1119.000000	1402.000000	288250	329236	Mon Oct 19 13:24:30 2020
4.223514	1199.000000	1027.000000	1304.000000	288250	343132	Mon Oct 19 13:35:28 2020
3.167635	1035.000000	940.000000	1207.000000	288250	361195	Mon Oct 19 13:46:07 2020
2.375726	1016.000000	808.000000	1041.000000	288250	387563	Mon Oct 19 13:56:23 2020
1.781795	772.000000	705.000000	1022.000000	288250	419586	Mon Oct 19 14:06:40 2020
1.336346	674.000000	572.000000	776.000000	288250	464102	Mon Oct 19 14:19:02 2020
1.002260	525.000000	442.000000	674.000000	288250	524576	Mon Oct 19 14:30:24 2020
0.751695	382.000000	333.000000	526.000000	288250	600294	Mon Oct 19 14:40:26 2020
0.563771	271.000000	227.000000	382.000000	288250	693667	Mon Oct 19 14:53:12 2020
0.422828	171.000000	133.000000	271.000000	288250	803784	Mon Oct 19 15:06:48 2020
0.317121	89.000000	60.000000	171.000000	288250	918365	Mon Oct 19 15:22:53 2020
0.237841	41.000000	18.000000	90.000000	288250	1008577	Mon Oct 19 15:42:21 2020
0.178381	4.000000	4.000000	41.000000	288250	1064844	Mon Oct 19 16:01:24 2020
0.133786	3.000000	1.000000	7.000000	288250	1080599	Mon Oct 19 16:21:28 2020
0.100339	1.000000	0.000000	4.000000	288250	1084832	Mon Oct 19 16:42:08 2020
0.075254	0.000000	0.000000	1.000000	288250	1084835	Mon Oct 19 17:00:36 2020
0.056441	0.000000	0.000000	0.000000	288250	1089073	Mon Oct 19 17:19:40 2020
