temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	2867.000000	2547.000000	3079.000000	394000	397913	Mon Oct 19 11:56:01 2020
75.000000	2840.000000	2577.000000	3072.000000	394000	399214	Mon Oct 19 12:20:01 2020
56.250000	2845.000000	2550.000000	3007.000000	394000	400805	Mon Oct 19 12:43:56 2020
42.187500	2796.000000	2543.000000	2962.000000	394000	403107	Mon Oct 19 13:07:41 2020
31.640625	2833.000000	2463.000000	2971.000000	394000	406296	Mon Oct 19 13:31:21 2020
23.730469	2561.000000	2429.000000	2913.000000	394000	410497	Mon Oct 19 13:55:26 2020
17.797852	2504.000000	2364.000000	2845.000000	394000	415883	Mon Oct 19 14:19:50 2020
13.348389	2628.000000	2330.000000	2771.000000	394000	423412	Mon Oct 19 14:43:41 2020
10.011292	2390.000000	2272.000000	2645.000000	394000	433849	Mon Oct 19 15:07:46 2020
7.508469	2327.000000	2160.000000	2600.000000	394000	446719	Mon Oct 19 15:31:33 2020
5.631351	2191.000000	1973.000000	2384.000000	394000	464811	Mon Oct 19 15:55:04 2020
4.223514	2018.000000	1821.000000	2205.000000	394000	489263	Mon Oct 19 16:18:57 2020
3.167635	1815.000000	1633.000000	2027.000000	394000	521308	Mon Oct 19 16:42:39 2020
2.375726	1539.000000	1435.000000	1816.000000	394000	566215	Mon Oct 19 17:06:49 2020
1.781795	1306.000000	1208.000000	1542.000000	394000	625645	Mon Oct 19 17:30:57 2020
1.336346	1132.000000	988.000000	1310.000000	394000	705978	Mon Oct 19 17:57:14 2020
1.002260	862.000000	768.000000	1138.000000	394000	813997	Mon Oct 19 18:22:20 2020
0.751695	644.000000	561.000000	863.000000	394000	956562	Mon Oct 19 18:51:42 2020
0.563771	431.000000	377.000000	646.000000	394000	1131135	Mon Oct 19 19:22:49 2020
0.422828	271.000000	232.000000	431.000000	394000	1343545	Mon Oct 19 19:58:31 2020
0.317121	160.000000	123.000000	272.000000	394000	1562619	Mon Oct 19 20:39:21 2020
0.237841	57.000000	47.000000	161.000000	353481	1576000	Mon Oct 19 21:21:27 2020
0.178381	19.000000	12.000000	57.000000	332378	1576000	Mon Oct 19 22:03:58 2020
0.133786	5.000000	3.000000	19.000000	325072	1576000	Mon Oct 19 22:44:20 2020
0.100339	1.000000	1.000000	5.000000	322439	1576000	Mon Oct 19 23:26:46 2020
0.075254	1.000000	1.000000	1.000000	321615	1576000	Tue Oct 20 00:08:43 2020
