temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	7333.000000	6615.000000	7667.000000	434000	442167	Mon Feb 15 08:19:26 2021
75.000000	6926.000000	6578.000000	7485.000000	434000	444991	Mon Feb 15 09:12:41 2021
56.250000	7011.000000	6506.000000	7469.000000	434000	448580	Mon Feb 15 10:06:06 2021
42.187500	6935.000000	6396.000000	7416.000000	434000	453636	Mon Feb 15 10:59:26 2021
31.640625	6947.000000	6306.000000	7177.000000	434000	459978	Mon Feb 15 11:52:37 2021
23.730469	6617.000000	6046.000000	7029.000000	434000	469008	Mon Feb 15 12:45:32 2021
17.797852	6350.000000	5876.000000	6736.000000	434000	480904	Mon Feb 15 13:38:32 2021
13.348389	5999.000000	5659.000000	6461.000000	434000	496709	Mon Feb 15 14:31:18 2021
10.011292	5557.000000	5353.000000	6129.000000	434000	518100	Mon Feb 15 15:24:00 2021
7.508469	5387.000000	4893.000000	5653.000000	434000	547123	Mon Feb 15 16:16:30 2021
5.631351	4888.000000	4546.000000	5391.000000	434000	587393	Mon Feb 15 17:09:28 2021
4.223514	4451.000000	4070.000000	4899.000000	434000	639710	Mon Feb 15 18:02:44 2021
3.167635	3745.000000	3553.000000	4447.000000	434000	711817	Mon Feb 15 18:56:38 2021
2.375726	3388.000000	3080.000000	3749.000000	434000	811932	Mon Feb 15 19:52:18 2021
1.781795	2917.000000	2634.000000	3389.000000	434000	945814	Mon Feb 15 20:50:50 2021
1.336346	2374.000000	2200.000000	2915.000000	434000	1133967	Mon Feb 15 21:53:45 2021
1.002260	1933.000000	1803.000000	2377.000000	434000	1402323	Mon Feb 15 23:02:57 2021
0.751695	1529.000000	1429.000000	1934.000000	421122	1736000	Tue Feb 16 00:18:46 2021
0.563771	1143.000000	1073.000000	1529.000000	315703	1736000	Tue Feb 16 01:24:45 2021
0.422828	820.000000	777.000000	1143.000000	232078	1736000	Tue Feb 16 02:23:21 2021
0.317121	554.000000	518.000000	822.000000	168621	1736000	Tue Feb 16 03:17:46 2021
0.237841	328.000000	313.000000	557.000000	127941	1736000	Tue Feb 16 04:10:08 2021
0.178381	198.000000	186.000000	328.000000	102185	1736000	Tue Feb 16 05:01:09 2021
0.133786	125.000000	123.000000	198.000000	88412	1736000	Tue Feb 16 05:51:57 2021
0.100339	101.000000	101.000000	125.000000	84749	1736000	Tue Feb 16 06:42:32 2021
0.075254	90.000000	90.000000	101.000000	82667	1736000	Tue Feb 16 07:33:03 2021
0.056441	85.000000	85.000000	90.000000	82760	1736000	Tue Feb 16 08:23:36 2021
0.042331	78.000000	78.000000	85.000000	80779	1736000	Tue Feb 16 09:14:07 2021
0.031748	76.000000	76.000000	78.000000	80479	1736000	Tue Feb 16 10:04:44 2021
0.023811	75.000000	75.000000	76.000000	80284	1736000	Tue Feb 16 10:55:13 2021
0.017858	70.000000	70.000000	75.000000	80238	1736000	Tue Feb 16 11:45:47 2021
0.013394	69.000000	69.000000	70.000000	79724	1736000	Tue Feb 16 12:36:21 2021
0.010045	67.000000	67.000000	69.000000	80285	1736000	Tue Feb 16 13:26:48 2021
0.007534	64.000000	64.000000	67.000000	79087	1736000	Tue Feb 16 14:17:26 2021
0.005650	64.000000	64.000000	64.000000	78633	1736000	Tue Feb 16 15:08:00 2021
