temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	2048.000000	1947.000000	2371.000000	278250	281210	Fri Oct 23 14:50:51 2020
75.000000	2051.000000	1888.000000	2340.000000	278250	282221	Fri Oct 23 15:03:18 2020
56.250000	2147.000000	1852.000000	2330.000000	278250	283622	Fri Oct 23 15:15:20 2020
42.187500	2003.000000	1855.000000	2295.000000	278250	285413	Fri Oct 23 15:27:36 2020
31.640625	1944.000000	1859.000000	2283.000000	278250	287534	Fri Oct 23 15:39:31 2020
23.730469	2120.000000	1778.000000	2232.000000	278250	291133	Fri Oct 23 15:51:29 2020
17.797852	1927.000000	1751.000000	2178.000000	278250	295522	Fri Oct 23 16:03:26 2020
13.348389	1881.000000	1706.000000	2190.000000	278250	300797	Fri Oct 23 16:15:24 2020
10.011292	1904.000000	1629.000000	1988.000000	278250	308624	Fri Oct 23 16:26:52 2020
7.508469	1825.000000	1560.000000	1942.000000	278250	318912	Fri Oct 23 16:39:15 2020
5.631351	1527.000000	1442.000000	1829.000000	278250	332991	Fri Oct 23 16:51:01 2020
4.223514	1493.000000	1279.000000	1592.000000	278250	351782	Fri Oct 23 17:02:43 2020
3.167635	1245.000000	1103.000000	1494.000000	278250	375932	Fri Oct 23 17:14:07 2020
2.375726	1108.000000	976.000000	1254.000000	278250	409976	Fri Oct 23 17:25:35 2020
1.781795	867.000000	798.000000	1108.000000	278250	454155	Fri Oct 23 17:37:03 2020
1.336346	711.000000	654.000000	885.000000	278250	512153	Fri Oct 23 17:49:13 2020
1.002260	573.000000	493.000000	712.000000	278250	587823	Fri Oct 23 18:03:13 2020
0.751695	408.000000	350.000000	576.000000	278250	684065	Fri Oct 23 18:15:17 2020
0.563771	301.000000	239.000000	410.000000	278250	798786	Fri Oct 23 18:28:53 2020
0.422828	189.000000	138.000000	301.000000	278250	931143	Fri Oct 23 18:44:18 2020
0.317121	108.000000	63.000000	189.000000	278250	1066008	Fri Oct 23 19:02:10 2020
0.237841	47.000000	22.000000	108.000000	264933	1113000	Fri Oct 23 19:20:18 2020
0.178381	12.000000	6.000000	47.000000	252621	1113000	Fri Oct 23 19:39:11 2020
0.133786	5.000000	1.000000	12.000000	247161	1113000	Fri Oct 23 19:58:03 2020
0.100339	0.000000	0.000000	5.000000	246066	1113000	Fri Oct 23 20:15:04 2020
0.075254	0.000000	0.000000	0.000000	247625	1113000	Fri Oct 23 20:34:51 2020
