temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	8835.000000	8488.000000	9298.000000	971000	982745	Mon Feb 15 00:02:12 2021
75.000000	8777.000000	8411.000000	9344.000000	971000	986975	Mon Feb 15 04:08:43 2021
56.250000	8455.000000	8279.000000	9222.000000	971000	992146	Mon Feb 15 08:15:56 2021
42.187500	8697.000000	8042.000000	9245.000000	971000	999095	Mon Feb 15 12:23:31 2021
31.640625	8468.000000	8067.000000	8944.000000	971000	1008181	Mon Feb 15 16:31:14 2021
23.730469	8316.000000	7914.000000	8759.000000	971000	1020708	Mon Feb 15 20:40:15 2021
17.797852	8077.000000	7713.000000	8481.000000	971000	1038068	Tue Feb 16 00:50:21 2021
13.348389	7765.000000	7423.000000	8245.000000	971000	1060890	Tue Feb 16 05:02:04 2021
10.011292	7246.000000	7023.000000	7924.000000	971000	1091224	Tue Feb 16 09:16:09 2021
7.508469	7011.000000	6710.000000	7446.000000	971000	1133176	Tue Feb 16 13:33:36 2021
5.631351	6327.000000	6196.000000	7051.000000	971000	1187648	Tue Feb 16 17:55:47 2021
4.223514	6029.000000	5615.000000	6348.000000	971000	1261661	Tue Feb 16 22:25:35 2021
3.167635	5288.000000	5010.000000	6032.000000	971000	1364357	Wed Feb 17 03:06:22 2021
2.375726	4541.000000	4329.000000	5293.000000	971000	1499203	Wed Feb 17 08:02:52 2021
1.781795	3834.000000	3636.000000	4557.000000	971000	1682943	Wed Feb 17 13:22:17 2021
1.336346	3141.000000	2923.000000	3836.000000	971000	1933213	Wed Feb 17 19:15:50 2021
1.002260	2479.000000	2308.000000	3152.000000	971000	2264466	Thu Feb 18 01:59:33 2021
0.751695	1809.000000	1701.000000	2489.000000	971000	2710131	Thu Feb 18 09:57:37 2021
0.563771	1284.000000	1190.000000	1810.000000	971000	3283374	Thu Feb 18 19:36:04 2021
0.422828	815.000000	762.000000	1284.000000	940902	3884000	Fri Feb 19 07:00:22 2021
0.317121	491.000000	410.000000	816.000000	780893	3884000	Fri Feb 19 18:24:54 2021
0.237841	218.000000	184.000000	491.000000	675441	3884000	Sat Feb 20 05:49:18 2021
0.178381	82.000000	58.000000	219.000000	614466	3884000	Sat Feb 20 17:13:43 2021
0.133786	20.000000	17.000000	82.000000	593806	3884000	Sun Feb 21 04:38:17 2021
0.100339	8.000000	7.000000	20.000000	586703	3884000	Sun Feb 21 16:02:49 2021
0.075254	4.000000	4.000000	8.000000	586339	3884000	Mon Feb 22 03:27:22 2021
0.056441	3.000000	3.000000	4.000000	586344	3884000	Mon Feb 22 14:51:49 2021
0.042331	3.000000	3.000000	3.000000	584927	3884000	Tue Feb 23 02:16:13 2021
