temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	5869.000000	5658.000000	6478.000000	823500	831857	Fri Oct 23 17:09:21 2020
75.000000	6150.000000	5704.000000	6408.000000	823500	834633	Fri Oct 23 19:39:06 2020
56.250000	5872.000000	5617.000000	6329.000000	823500	838374	Fri Oct 23 22:09:07 2020
42.187500	6132.000000	5595.000000	6270.000000	823500	843445	Sat Oct 24 00:39:29 2020
31.640625	5840.000000	5489.000000	6166.000000	823500	850010	Sat Oct 24 03:10:04 2020
23.730469	5691.000000	5399.000000	6054.000000	823500	859345	Sat Oct 24 05:41:16 2020
17.797852	5519.000000	5261.000000	6001.000000	823500	871006	Sat Oct 24 08:13:05 2020
13.348389	5542.000000	5085.000000	5700.000000	823500	887110	Sat Oct 24 10:45:41 2020
10.011292	5293.000000	4824.000000	5606.000000	823500	908369	Sat Oct 24 13:20:00 2020
7.508469	5023.000000	4637.000000	5293.000000	823500	937048	Sat Oct 24 15:56:01 2020
5.631351	4550.000000	4257.000000	5028.000000	823500	976773	Sat Oct 24 18:34:53 2020
4.223514	4193.000000	3966.000000	4560.000000	823500	1028545	Sat Oct 24 21:18:05 2020
3.167635	3592.000000	3526.000000	4230.000000	823500	1099010	Sun Oct 25 00:07:50 2020
2.375726	3208.000000	3015.000000	3612.000000	823500	1190929	Sun Oct 25 02:06:38 2020
1.781795	2798.000000	2572.000000	3216.000000	823500	1317980	Sun Oct 25 05:18:38 2020
1.336346	2229.000000	2131.000000	2805.000000	823500	1486196	Sun Oct 25 08:49:39 2020
1.002260	1778.000000	1601.000000	2230.000000	823500	1703867	Sun Oct 25 12:45:44 2020
0.751695	1373.000000	1214.000000	1779.000000	823500	1988518	Sun Oct 25 17:16:31 2020
0.563771	915.000000	829.000000	1376.000000	823500	2347057	Sun Oct 25 22:35:35 2020
0.422828	614.000000	513.000000	914.000000	823500	2766660	Mon Oct 26 04:51:40 2020
0.317121	306.000000	272.000000	614.000000	823500	3217934	Mon Oct 26 12:09:03 2020
0.237841	142.000000	115.000000	306.000000	752454	3294000	Mon Oct 26 19:36:47 2020
0.178381	49.000000	34.000000	142.000000	707221	3294000	Tue Oct 27 03:04:35 2020
0.133786	5.000000	4.000000	49.000000	688432	3294000	Tue Oct 27 10:32:18 2020
0.100339	1.000000	1.000000	5.000000	683567	3294000	Tue Oct 27 17:59:55 2020
0.075254	1.000000	1.000000	1.000000	683079	3294000	Wed Oct 28 01:27:35 2020
