temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	10776.000000	10015.000000	11311.000000	556000	568437	Mon Feb 15 19:24:54 2021
75.000000	10383.000000	9854.000000	11182.000000	556000	572663	Mon Feb 15 21:08:44 2021
56.250000	10398.000000	9722.000000	11072.000000	556000	578432	Mon Feb 15 22:52:36 2021
42.187500	10232.000000	9678.000000	10920.000000	556000	585711	Tue Feb 16 00:36:00 2021
31.640625	10088.000000	9463.000000	10611.000000	556000	595766	Tue Feb 16 02:19:53 2021
23.730469	9648.000000	9016.000000	10381.000000	556000	609540	Tue Feb 16 04:03:03 2021
17.797852	9247.000000	8819.000000	9902.000000	556000	627327	Tue Feb 16 05:46:00 2021
13.348389	8799.000000	8259.000000	9473.000000	556000	651980	Tue Feb 16 07:29:01 2021
10.011292	8449.000000	7900.000000	8859.000000	556000	685509	Tue Feb 16 09:12:08 2021
7.508469	7806.000000	7162.000000	8501.000000	556000	730683	Tue Feb 16 10:55:41 2021
5.631351	6833.000000	6434.000000	7809.000000	556000	790818	Tue Feb 16 12:39:50 2021
4.223514	6060.000000	5819.000000	6852.000000	556000	871937	Tue Feb 16 14:25:38 2021
3.167635	5516.000000	5001.000000	6094.000000	556000	985601	Tue Feb 16 16:14:54 2021
2.375726	4624.000000	4335.000000	5521.000000	556000	1135317	Tue Feb 16 18:09:01 2021
1.781795	4031.000000	3671.000000	4624.000000	556000	1347280	Tue Feb 16 20:11:19 2021
1.336346	3228.000000	3002.000000	4036.000000	556000	1644157	Tue Feb 16 22:25:32 2021
1.002260	2650.000000	2500.000000	3229.000000	556000	2076499	Wed Feb 17 00:58:01 2021
0.751695	2060.000000	1971.000000	2650.000000	454145	2224000	Wed Feb 17 03:24:22 2021
0.563771	1582.000000	1490.000000	2061.000000	332007	2224000	Wed Feb 17 05:34:59 2021
0.422828	1102.000000	1073.000000	1582.000000	235542	2224000	Wed Feb 17 07:33:19 2021
0.317121	740.000000	739.000000	1105.000000	166039	2224000	Wed Feb 17 09:24:31 2021
0.237841	506.000000	476.000000	740.000000	122934	2224000	Wed Feb 17 11:12:12 2021
0.178381	307.000000	304.000000	507.000000	97556	2224000	Wed Feb 17 12:58:09 2021
0.133786	215.000000	215.000000	307.000000	86708	2224000	Wed Feb 17 14:43:51 2021
0.100339	168.000000	168.000000	215.000000	80288	2224000	Wed Feb 17 16:29:28 2021
0.075254	151.000000	151.000000	168.000000	78334	2224000	Wed Feb 17 18:15:05 2021
0.056441	136.000000	136.000000	151.000000	76883	2224000	Wed Feb 17 20:00:40 2021
0.042331	123.000000	123.000000	136.000000	75979	2224000	Wed Feb 17 21:46:15 2021
0.031748	114.000000	114.000000	123.000000	75757	2224000	Wed Feb 17 23:31:51 2021
0.023811	107.000000	107.000000	114.000000	73982	2224000	Thu Feb 18 01:17:28 2021
0.017858	103.000000	103.000000	107.000000	73327	2224000	Thu Feb 18 03:03:05 2021
0.013394	99.000000	99.000000	103.000000	73817	2224000	Thu Feb 18 04:48:43 2021
0.010045	93.000000	93.000000	99.000000	72748	2224000	Thu Feb 18 06:34:17 2021
0.007534	88.000000	88.000000	93.000000	71864	2224000	Thu Feb 18 08:19:51 2021
0.005650	87.000000	87.000000	88.000000	72697	2224000	Thu Feb 18 10:05:24 2021
0.004238	85.000000	85.000000	87.000000	72201	2224000	Thu Feb 18 11:50:59 2021
0.003178	81.000000	81.000000	85.000000	70795	2224000	Thu Feb 18 13:36:32 2021
0.002384	79.000000	79.000000	81.000000	72828	2224000	Thu Feb 18 15:22:05 2021
0.001788	78.000000	78.000000	79.000000	71522	2224000	Thu Feb 18 17:07:39 2021
0.001341	77.000000	77.000000	78.000000	72410	2224000	Thu Feb 18 18:53:12 2021
0.001006	75.000000	75.000000	77.000000	71910	2224000	Thu Feb 18 20:38:45 2021
0.000754	74.000000	74.000000	75.000000	71132	2224000	Thu Feb 18 22:24:19 2021
0.000566	70.000000	70.000000	74.000000	71766	2224000	Fri Feb 19 00:09:52 2021
0.000424	70.000000	70.000000	70.000000	71475	2224000	Fri Feb 19 01:55:25 2021
