temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	8529.000000	8142.000000	9054.000000	1039750	1051249	Sun Feb 14 15:28:04 2021
75.000000	8557.000000	8020.000000	8965.000000	1039750	1055223	Sun Feb 14 20:15:53 2021
56.250000	8602.000000	8051.000000	8908.000000	1039750	1060334	Mon Feb 15 01:04:18 2021
42.187500	8214.000000	7970.000000	9022.000000	1039750	1067031	Mon Feb 15 05:53:21 2021
31.640625	8305.000000	7848.000000	8674.000000	1039750	1076352	Mon Feb 15 10:43:04 2021
23.730469	8173.000000	7706.000000	8570.000000	1039750	1088543	Mon Feb 15 15:34:09 2021
17.797852	8044.000000	7479.000000	8310.000000	1039750	1105485	Mon Feb 15 20:27:14 2021
13.348389	7439.000000	7303.000000	8097.000000	1039750	1127600	Tue Feb 16 01:22:44 2021
10.011292	7610.000000	6960.000000	7730.000000	1039750	1157609	Tue Feb 16 06:21:46 2021
7.508469	6995.000000	6642.000000	7640.000000	1039750	1197781	Tue Feb 16 11:25:38 2021
5.631351	6542.000000	6160.000000	6995.000000	1039750	1252493	Tue Feb 16 16:36:42 2021
4.223514	5956.000000	5575.000000	6571.000000	1039750	1325063	Tue Feb 16 21:57:16 2021
3.167635	5376.000000	4998.000000	5967.000000	1039750	1424008	Wed Feb 17 03:31:51 2021
2.375726	4593.000000	4365.000000	5376.000000	1039750	1557206	Wed Feb 17 09:26:24 2021
1.781795	3850.000000	3611.000000	4620.000000	1039750	1734370	Wed Feb 17 15:50:04 2021
1.336346	3187.000000	2920.000000	3852.000000	1039750	1976657	Wed Feb 17 22:57:02 2021
1.002260	2531.000000	2328.000000	3188.000000	1039750	2301864	Thu Feb 18 07:05:28 2021
0.751695	1856.000000	1730.000000	2535.000000	1039750	2731875	Thu Feb 18 16:42:16 2021
0.563771	1308.000000	1184.000000	1858.000000	1039750	3284774	Fri Feb 19 04:15:31 2021
0.422828	859.000000	753.000000	1319.000000	1039750	3970371	Fri Feb 19 18:13:27 2021
0.317121	462.000000	406.000000	861.000000	920577	4159000	Sat Feb 20 08:51:56 2021
0.237841	221.000000	166.000000	461.000000	802767	4159000	Sat Feb 20 23:30:32 2021
0.178381	74.000000	46.000000	221.000000	744434	4159000	Sun Feb 21 14:09:14 2021
0.133786	16.000000	9.000000	74.000000	721546	4159000	Mon Feb 22 04:47:47 2021
0.100339	3.000000	2.000000	16.000000	716310	4159000	Mon Feb 22 19:26:17 2021
0.075254	1.000000	1.000000	3.000000	716440	4159000	Tue Feb 23 10:04:59 2021
0.056441	1.000000	1.000000	1.000000	714409	4159000	Wed Feb 24 00:43:36 2021
