temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	7814.000000	7429.000000	8663.000000	407750	417017	Mon Feb 15 07:34:02 2021
75.000000	8012.000000	7446.000000	8555.000000	407750	420118	Mon Feb 15 08:28:28 2021
56.250000	7678.000000	7299.000000	8352.000000	407750	424229	Mon Feb 15 09:22:38 2021
42.187500	7649.000000	7163.000000	8125.000000	407750	429882	Mon Feb 15 10:16:41 2021
31.640625	7525.000000	6908.000000	7946.000000	407750	437494	Mon Feb 15 11:10:35 2021
23.730469	7157.000000	6780.000000	7773.000000	407750	447397	Mon Feb 15 12:04:30 2021
17.797852	7252.000000	6486.000000	7623.000000	407750	460928	Mon Feb 15 12:58:21 2021
13.348389	6611.000000	6133.000000	7322.000000	407750	479264	Mon Feb 15 13:52:03 2021
10.011292	6354.000000	5791.000000	6710.000000	407750	503984	Mon Feb 15 14:45:16 2021
7.508469	5485.000000	5228.000000	6355.000000	407750	537581	Mon Feb 15 15:38:25 2021
5.631351	5260.000000	4797.000000	5488.000000	407750	583258	Mon Feb 15 16:32:07 2021
4.223514	4596.000000	4234.000000	5262.000000	407750	644492	Mon Feb 15 17:26:11 2021
3.167635	3933.000000	3711.000000	4599.000000	407750	728587	Mon Feb 15 18:21:47 2021
2.375726	3430.000000	3142.000000	3938.000000	407750	847114	Mon Feb 15 19:19:28 2021
1.781795	2921.000000	2652.000000	3453.000000	407750	1005274	Mon Feb 15 20:19:57 2021
1.336346	2292.000000	2162.000000	2916.000000	407750	1234521	Mon Feb 15 21:26:33 2021
1.002260	1895.000000	1763.000000	2300.000000	407750	1567762	Mon Feb 15 22:42:17 2021
0.751695	1507.000000	1418.000000	1895.000000	318792	1631000	Mon Feb 15 23:50:00 2021
0.563771	1157.000000	1060.000000	1507.000000	232231	1631000	Tue Feb 16 00:50:14 2021
0.422828	840.000000	738.000000	1157.000000	163725	1631000	Tue Feb 16 01:42:35 2021
0.317121	529.000000	510.000000	841.000000	115491	1631000	Tue Feb 16 02:30:05 2021
0.237841	336.000000	321.000000	531.000000	82379	1631000	Tue Feb 16 03:17:50 2021
0.178381	208.000000	205.000000	336.000000	65006	1631000	Tue Feb 16 04:04:12 2021
0.133786	136.000000	135.000000	209.000000	56010	1631000	Tue Feb 16 04:48:57 2021
0.100339	111.000000	111.000000	136.000000	51698	1631000	Tue Feb 16 05:33:35 2021
0.075254	93.000000	93.000000	111.000000	48966	1631000	Tue Feb 16 06:17:06 2021
0.056441	83.000000	83.000000	93.000000	49143	1631000	Tue Feb 16 07:01:01 2021
0.042331	81.000000	81.000000	83.000000	49393	1631000	Tue Feb 16 07:44:45 2021
0.031748	77.000000	77.000000	81.000000	49036	1631000	Tue Feb 16 08:30:01 2021
0.023811	75.000000	75.000000	77.000000	48824	1631000	Tue Feb 16 09:15:02 2021
0.017858	74.000000	74.000000	75.000000	48481	1631000	Tue Feb 16 09:58:58 2021
0.013394	73.000000	73.000000	74.000000	48542	1631000	Tue Feb 16 10:42:29 2021
0.010045	72.000000	72.000000	73.000000	48541	1631000	Tue Feb 16 11:26:41 2021
0.007534	70.000000	70.000000	72.000000	48391	1631000	Tue Feb 16 12:11:41 2021
0.005650	68.000000	68.000000	70.000000	48243	1631000	Tue Feb 16 12:55:07 2021
0.004238	67.000000	67.000000	68.000000	47840	1631000	Tue Feb 16 13:38:31 2021
0.003178	64.000000	64.000000	67.000000	48426	1631000	Tue Feb 16 14:24:38 2021
0.002384	64.000000	64.000000	64.000000	47412	1631000	Tue Feb 16 15:09:41 2021
