temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	5564.000000	5157.000000	5846.000000	649500	657142	Thu Oct 15 13:17:32 2020
75.000000	5534.000000	5189.000000	5877.000000	649500	659457	Thu Oct 15 14:44:29 2020
56.250000	5343.000000	5095.000000	5845.000000	649500	662816	Thu Oct 15 16:11:23 2020
42.187500	5365.000000	5060.000000	5772.000000	649500	667563	Thu Oct 15 17:38:19 2020
31.640625	5202.000000	4967.000000	5651.000000	649500	673306	Thu Oct 15 19:05:02 2020
23.730469	5186.000000	4879.000000	5497.000000	649500	681780	Thu Oct 15 20:31:46 2020
17.797852	5165.000000	4748.000000	5382.000000	649500	692012	Thu Oct 15 21:58:42 2020
13.348389	4826.000000	4620.000000	5334.000000	649500	706082	Thu Oct 15 23:25:47 2020
10.011292	4665.000000	4390.000000	4973.000000	649500	725070	Fri Oct 16 00:52:56 2020
7.508469	4393.000000	4076.000000	4761.000000	649500	750817	Fri Oct 16 02:20:21 2020
5.631351	4235.000000	3876.000000	4411.000000	649500	785238	Fri Oct 16 03:48:37 2020
4.223514	3785.000000	3541.000000	4243.000000	649500	828946	Fri Oct 16 05:17:36 2020
3.167635	3318.000000	3155.000000	3798.000000	649500	890959	Fri Oct 16 06:48:18 2020
2.375726	2969.000000	2741.000000	3325.000000	649500	971421	Fri Oct 16 08:21:25 2020
1.781795	2488.000000	2323.000000	2969.000000	649500	1076975	Fri Oct 16 09:58:56 2020
1.336346	2131.000000	1927.000000	2502.000000	649500	1221945	Fri Oct 16 11:43:59 2020
1.002260	1672.000000	1523.000000	2128.000000	649500	1412191	Fri Oct 16 13:39:34 2020
0.751695	1290.000000	1192.000000	1671.000000	649500	1672872	Fri Oct 16 15:50:19 2020
0.563771	903.000000	847.000000	1295.000000	649500	2010616	Fri Oct 16 18:21:37 2020
0.422828	672.000000	524.000000	903.000000	649500	2447153	Fri Oct 16 21:20:25 2020
0.317121	361.000000	315.000000	672.000000	576749	2598000	Sat Oct 17 00:29:19 2020
0.237841	185.000000	139.000000	362.000000	495641	2598000	Sat Oct 17 03:38:05 2020
0.178381	65.000000	54.000000	187.000000	454011	2598000	Sat Oct 17 06:46:49 2020
0.133786	17.000000	13.000000	65.000000	434295	2598000	Sat Oct 17 09:55:32 2020
0.100339	6.000000	4.000000	18.000000	429780	2598000	Sat Oct 17 13:04:18 2020
0.075254	3.000000	3.000000	6.000000	429081	2598000	Sat Oct 17 16:13:02 2020
0.056441	2.000000	2.000000	3.000000	429723	2598000	Sat Oct 17 19:21:50 2020
0.042331	2.000000	2.000000	2.000000	429149	2598000	Sat Oct 17 22:30:31 2020
